JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.37788 -1.756 0.014 -0.280 0.006 -0.272 0.006 1.476 0.014 1.484 0.014 0.008 0.007
2453236.37825 -1.828 0.014 -0.353 0.006 -0.316 0.006 1.475 0.014 1.512 0.014 0.037 0.007


2453236.37900 -1.828 0.014 -0.373 0.006 -0.298 0.006 1.455 0.014 1.530 0.014 0.075 0.007
2453236.37938 99.999 9.999 99.999 9.999 -0.262 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.37975 -1.785 0.013 -0.334 0.006 -0.283 0.006 1.451 0.013 1.502 0.013 0.051 0.007
2453236.38013 -1.808 0.014 -0.342 0.006 -0.296 0.006 1.466 0.014 1.512 0.014 0.046 0.007
2453236.38050 -1.791 0.014 -0.301 0.006 -0.311 0.006 1.490 0.014 1.480 0.014 -0.010 0.007


2453236.38124 -1.860 0.014 -0.392 0.006 -0.342 0.006 1.468 0.014 1.518 0.014 0.050 0.007
2453236.38162 99.999 9.999 99.999 9.999 -0.303 0.006 99.999 9.999 99.999 9.999 99.999 9.999
2453236.38199 -1.795 0.013 -0.306 0.006 -0.291 0.006 1.489 0.013 1.504 0.013 0.015 0.007
2453236.38236 -1.819 0.013 -0.368 0.006 -0.350 0.006 1.451 0.013 1.469 0.013 0.018 0.007
2453236.38273 -1.878 0.014 -0.407 0.006 -0.371 0.006 1.471 0.014 1.507 0.014 0.036 0.007


2453236.38348 -1.781 0.013 -0.328 0.006 -0.301 0.006 1.453 0.013 1.480 0.013 0.027 0.007
2453236.38385 -1.888 0.014 -0.386 0.006 -0.369 0.006 1.502 0.014 1.519 0.014 0.017 0.007


2453236.38461 -1.820 0.014 -0.352 0.006 -0.305 0.006 1.468 0.014 1.515 0.014 0.047 0.007
2453236.38498 99.999 9.999 99.999 9.999 -0.319 0.006 99.999 9.999 99.999 9.999 99.999 9.999


2453236.38572 -1.876 0.013 -0.399 0.006 -0.340 0.006 1.477 0.013 1.536 0.013 0.059 0.007
2453236.38610 -1.862 0.014 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999


