JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453255.36462 -0.210 0.006 0.036 0.006 0.220 0.006 0.246 0.006 0.430 0.006 0.184 0.006


2453255.36543 -0.236 0.006 -0.057 0.006 0.107 0.006 0.179 0.007 0.343 0.006 0.164 0.006
2453255.36581 -0.201 0.006 0.025 0.006 0.212 0.006 0.226 0.006 0.413 0.006 0.187 0.006
2453255.36623 -0.233 0.006 -0.077 0.006 0.115 0.006 0.156 0.007 0.348 0.006 0.192 0.006
2453255.36662 -0.218 0.006 -0.013 0.006 0.198 0.006 0.205 0.006 0.416 0.006 0.211 0.006
2453255.36703 -0.234 0.006 0.017 0.006 0.179 0.006 0.251 0.006 0.413 0.006 0.162 0.006
2453255.36741 -0.204 0.006 -0.009 0.006 0.185 0.006 0.195 0.006 0.389 0.006 0.194 0.006
2453255.36780 -0.220 0.006 0.000 0.006 0.179 0.006 0.220 0.006 0.399 0.006 0.179 0.006
2453255.36823 -0.227 0.006 -0.028 0.006 0.167 0.006 0.199 0.007 0.394 0.006 0.195 0.006
2453255.36866 -0.260 0.006 -0.030 0.006 0.126 0.006 0.230 0.006 0.386 0.006 0.156 0.006
2453255.36905 -0.238 0.006 -0.050 0.006 0.102 0.006 0.188 0.006 0.340 0.006 0.152 0.006
2453255.36949 -0.242 0.006 -0.040 0.006 0.115 0.006 0.202 0.007 0.357 0.006 0.155 0.006
2453255.36990 -0.202 0.006 -0.036 0.006 0.165 0.006 0.166 0.007 0.367 0.006 0.201 0.006
2453255.37031 -0.224 0.006 -0.013 0.006 0.163 0.006 0.211 0.007 0.387 0.006 0.176 0.006
2453255.37069 -0.222 0.006 0.013 0.006 0.186 0.006 0.235 0.006 0.408 0.006 0.173 0.006
2453255.37109 -0.243 0.006 -0.016 0.006 0.157 0.006 0.227 0.006 0.400 0.006 0.173 0.006
2453255.37152 -0.231 0.006 -0.025 0.006 0.169 0.006 0.206 0.007 0.400 0.006 0.194 0.006
2453255.37190 -0.256 0.006 -0.011 0.006 0.155 0.006 0.245 0.006 0.411 0.006 0.166 0.006
2453255.37231 -0.264 0.006 -0.047 0.006 0.104 0.006 0.217 0.006 0.368 0.006 0.151 0.006
2453255.37270 -0.234 0.006 -0.066 0.006 0.159 0.006 0.168 0.007 0.393 0.006 0.225 0.006
2453255.37308 -0.258 0.006 -0.076 0.006 0.087 0.006 0.182 0.007 0.345 0.006 0.163 0.006
2453255.37345 -0.223 0.006 -0.069 0.006 0.154 0.006 0.154 0.007 0.377 0.006 0.223 0.006
2453255.37387 -0.209 0.006 -0.014 0.006 0.190 0.006 0.195 0.007 0.399 0.006 0.204 0.006
2453255.37427 -0.231 0.006 -0.034 0.006 0.149 0.006 0.197 0.007 0.380 0.006 0.183 0.006
2453255.37466 -0.240 0.006 -0.062 0.006 0.079 0.006 0.178 0.007 0.319 0.006 0.141 0.006
2453255.37509 -0.209 0.006 -0.035 0.006 0.148 0.006 0.174 0.007 0.357 0.006 0.183 0.006
2453255.37551 -0.286 0.006 -0.039 0.006 0.092 0.006 0.247 0.006 0.378 0.006 0.131 0.006
2453255.37593 -0.260 0.006 99.999 9.999 0.093 0.006 99.999 9.999 0.353 0.006 99.999 9.999
2453255.37634 -0.282 0.006 -0.089 0.006 0.101 0.006 0.193 0.007 0.383 0.006 0.190 0.006
2453255.37676 -0.247 0.006 0.018 0.006 0.168 0.006 0.265 0.006 0.415 0.006 0.150 0.006
2453255.37718 -0.284 0.006 -0.052 0.006 0.083 0.006 0.232 0.007 0.367 0.006 0.135 0.006
2453255.37756 -0.236 0.006 -0.068 0.006 0.136 0.006 0.168 0.007 0.372 0.006 0.204 0.006
2453255.37796 -0.255 0.006 -0.031 0.006 0.143 0.006 0.224 0.007 0.398 0.006 0.174 0.006
2453255.37837 -0.250 0.006 -0.030 0.006 0.147 0.006 0.220 0.007 0.397 0.006 0.177 0.006
2453255.37878 -0.260 0.006 -0.008 0.006 0.154 0.006 0.252 0.007 0.414 0.006 0.162 0.006
2453255.37918 -0.241 0.006 -0.005 0.006 0.167 0.006 0.236 0.006 0.408 0.006 0.172 0.006
2453255.37958 -0.237 0.006 -0.083 0.006 0.120 0.006 0.154 0.007 0.357 0.006 0.203 0.006
2453255.37998 -0.261 0.006 -0.103 0.006 0.092 0.006 0.158 0.007 0.353 0.006 0.195 0.006
2453255.38037 -0.252 0.006 -0.039 0.006 0.138 0.006 0.213 0.007 0.390 0.006 0.177 0.006
2453255.38081 -0.263 0.006 -0.034 0.006 0.121 0.006 0.229 0.007 0.384 0.006 0.155 0.006
