JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V


2453263.35384 0.419 0.024 0.845 0.023 1.049 0.022 0.426 0.018 0.630 0.017 0.204 0.014
2453263.35421 0.543 0.012 0.769 0.012 0.945 0.012 0.226 0.009 0.402 0.009 0.176 0.008


2453263.35534 0.526 0.012 0.739 0.012 0.915 0.012 0.213 0.009 0.389 0.009 0.176 0.008
2453263.35571 0.516 0.012 99.999 9.999 0.879 0.012 99.999 9.999 0.363 0.009 99.999 9.999
2453263.35609 0.496 0.013 0.756 0.012 99.999 9.999 0.260 0.011 99.999 9.999 99.999 9.999


2453263.35683 0.508 0.012 0.710 0.012 0.921 0.012 0.202 0.009 0.413 0.009 0.211 0.008
2453263.35721 0.703 0.021 0.703 0.021 0.746 0.021 0.000 0.016 0.043 0.016 0.043 0.016
2453263.35758 0.491 0.011 0.683 0.011 99.999 9.999 0.192 0.009 99.999 9.999 99.999 9.999
2453263.35795 0.528 0.011 0.708 0.011 0.896 0.010 0.180 0.009 0.368 0.009 0.188 0.008
2453263.35833 0.531 0.012 0.758 0.012 99.999 9.999 0.227 0.009 99.999 9.999 99.999 9.999
2453263.35870 0.506 0.012 99.999 9.999 0.912 0.011 99.999 9.999 0.406 0.009 99.999 9.999
2453263.35907 99.999 9.999 0.710 0.011 0.895 0.010 99.999 9.999 99.999 9.999 0.185 0.008
2453263.35946 99.999 9.999 0.692 0.011 0.907 0.010 99.999 9.999 99.999 9.999 0.215 0.008
2453263.35983 0.510 0.010 0.702 0.010 0.884 0.009 0.192 0.008 0.374 0.008 0.182 0.008
2453263.36021 0.540 0.011 0.722 0.011 0.915 0.010 0.182 0.008 0.375 0.008 0.193 0.008
2453263.36058 0.519 0.011 0.758 0.011 0.929 0.010 0.239 0.009 0.410 0.009 0.171 0.008
2453263.36095 0.541 0.011 0.708 0.011 0.889 0.010 0.167 0.009 0.348 0.009 0.181 0.008
2453263.36133 99.999 9.999 0.710 0.011 0.890 0.010 99.999 9.999 99.999 9.999 0.180 0.008
2453263.36170 0.529 0.011 0.739 0.011 0.914 0.010 0.210 0.008 0.385 0.008 0.175 0.008
2453263.36207 0.537 0.011 0.703 0.011 0.899 0.010 0.166 0.008 0.362 0.008 0.196 0.008
2453263.36245 0.491 0.011 0.728 0.011 0.906 0.010 0.237 0.009 0.415 0.009 0.178 0.008


2453263.36319 0.506 0.011 0.716 0.011 0.910 0.010 0.210 0.008 0.404 0.008 0.194 0.008
2453263.36356 0.504 0.011 0.733 0.011 0.908 0.010 0.229 0.009 0.404 0.009 0.175 0.008
2453263.36395 0.535 0.011 0.719 0.011 0.890 0.010 0.184 0.008 0.355 0.008 0.171 0.008
2453263.36432 99.999 9.999 0.695 0.011 0.904 0.010 99.999 9.999 99.999 9.999 0.209 0.008
2453263.36469 0.479 0.011 0.682 0.011 0.902 0.010 0.203 0.009 0.423 0.009 0.220 0.008


2453263.36544 0.497 0.011 0.710 0.011 0.885 0.010 0.213 0.009 0.388 0.009 0.175 0.008
2453263.36581 0.518 0.011 0.726 0.011 0.886 0.010 0.208 0.009 0.368 0.009 0.160 0.008
2453263.36619 0.520 0.011 0.743 0.011 0.909 0.010 0.223 0.009 0.389 0.009 0.166 0.008
2453263.36656 0.504 0.011 0.741 0.011 0.924 0.010 0.237 0.009 0.420 0.009 0.183 0.008
2453263.36693 0.509 0.011 0.711 0.011 0.862 0.010 0.202 0.009 0.353 0.009 0.151 0.008
2453263.36731 0.521 0.011 0.729 0.011 0.901 0.010 0.208 0.009 0.380 0.009 0.172 0.008
2453263.36769 0.513 0.011 0.720 0.011 0.876 0.010 0.207 0.008 0.363 0.008 0.156 0.008
2453263.36806 0.505 0.011 0.713 0.011 0.892 0.010 0.208 0.008 0.387 0.008 0.179 0.008
2453263.36844 0.512 0.011 0.714 0.011 0.875 0.010 0.202 0.008 0.363 0.008 0.161 0.008
2453263.36881 0.502 0.011 0.690 0.011 99.999 9.999 0.188 0.008 99.999 9.999 99.999 9.999
2453263.36918 0.490 0.011 0.702 0.011 0.877 0.010 0.212 0.008 0.387 0.008 0.175 0.008
2453263.36956 0.514 0.011 0.724 0.011 0.922 0.010 0.210 0.009 0.408 0.009 0.198 0.008
2453263.36993 0.471 0.010 0.703 0.010 0.904 0.009 0.232 0.008 0.433 0.008 0.201 0.008


2453263.37068 0.464 0.011 0.693 0.011 0.885 0.010 0.229 0.009 0.421 0.009 0.192 0.008
2453263.37105 0.484 0.011 0.724 0.011 0.901 0.010 0.240 0.009 0.417 0.009 0.177 0.008
2453263.37142 0.495 0.011 0.701 0.011 0.886 0.011 0.206 0.009 0.391 0.009 0.185 0.008
2453263.37181 0.533 0.011 0.699 0.011 0.891 0.011 0.166 0.009 0.358 0.009 0.192 0.008
2453263.37218 0.474 0.011 0.701 0.011 0.896 0.011 0.227 0.009 0.422 0.009 0.195 0.008
2453263.37255 0.482 0.011 0.715 0.011 0.876 0.011 0.233 0.009 0.394 0.009 0.161 0.008
2453263.37293 0.482 0.011 0.704 0.011 0.896 0.010 0.222 0.009 0.414 0.009 0.192 0.008




2453263.37405 0.469 0.011 0.686 0.011 0.890 0.011 0.217 0.009 0.421 0.009 0.204 0.008


2453263.37479 0.508 0.011 0.716 0.011 0.880 0.011 0.208 0.009 0.372 0.009 0.164 0.008
2453263.37516 0.512 0.011 0.693 0.011 0.877 0.010 0.181 0.009 0.365 0.009 0.184 0.008
2453263.37554 0.495 0.011 99.999 9.999 0.876 0.011 99.999 9.999 0.381 0.009 99.999 9.999
2453263.37591 0.513 0.011 0.718 0.011 0.887 0.011 0.205 0.009 0.374 0.009 0.169 0.008
2453263.37628 0.497 0.012 0.698 0.012 0.919 0.012 0.201 0.009 0.422 0.009 0.221 0.008


2453263.37704 0.506 0.012 0.698 0.012 0.870 0.012 0.192 0.009 0.364 0.009 0.172 0.008
2453263.37741 0.509 0.012 0.723 0.012 0.906 0.012 0.214 0.009 0.397 0.009 0.183 0.008
2453263.37779 0.508 0.012 0.731 0.012 0.904 0.012 0.223 0.009 0.396 0.009 0.173 0.008
2453263.37816 0.481 0.012 0.680 0.012 0.871 0.012 0.199 0.009 0.390 0.009 0.191 0.008
2453263.37853 0.493 0.012 0.699 0.012 0.875 0.012 0.206 0.009 0.382 0.009 0.176 0.008
2453263.37891 0.463 0.012 0.694 0.012 0.860 0.012 0.231 0.009 0.397 0.009 0.166 0.008
2453263.37928 0.496 0.012 0.676 0.012 0.893 0.012 0.180 0.009 0.397 0.009 0.217 0.008
2453263.37965 0.453 0.012 0.666 0.012 0.893 0.012 0.213 0.009 0.440 0.009 0.227 0.008


2453263.38041 0.498 0.012 0.690 0.012 0.875 0.012 0.192 0.010 0.377 0.009 0.185 0.009
2453263.38078 0.482 0.013 0.677 0.012 0.870 0.012 0.195 0.011 0.388 0.010 0.193 0.009


2453263.38153 0.481 0.012 0.681 0.012 0.855 0.012 0.200 0.009 0.374 0.009 0.174 0.008
2453263.38190 0.457 0.011 0.657 0.011 0.829 0.011 0.200 0.009 0.372 0.009 0.172 0.008
2453263.38227 0.462 0.011 0.665 0.011 0.834 0.010 0.203 0.009 0.372 0.009 0.169 0.008
2453263.38265 0.469 0.011 0.676 0.011 0.831 0.011 0.207 0.009 0.362 0.009 0.155 0.008
2453263.38302 0.454 0.011 0.682 0.011 99.999 9.999 0.228 0.009 99.999 9.999 99.999 9.999
2453263.38339 0.439 0.012 0.669 0.012 0.851 0.012 0.230 0.009 0.412 0.009 0.182 0.008
2453263.38377 0.464 0.012 0.677 0.012 0.853 0.012 0.213 0.009 0.389 0.009 0.176 0.008
2453263.38414 0.480 0.012 0.686 0.012 0.866 0.012 0.206 0.010 0.386 0.009 0.180 0.009
2453263.38451 0.457 0.012 0.669 0.012 0.852 0.012 0.212 0.010 0.395 0.009 0.183 0.009
2453263.38490 0.446 0.013 0.694 0.012 0.846 0.012 0.248 0.011 0.400 0.010 0.152 0.009
2453263.38527 0.488 0.013 0.683 0.012 0.875 0.012 0.195 0.011 0.387 0.010 0.192 0.009
2453263.38564 0.453 0.014 0.668 0.013 0.839 0.013 0.215 0.011 0.386 0.011 0.171 0.010
2453263.38602 0.380 0.058 0.602 0.055 0.776 0.053 0.222 0.044 0.396 0.042 0.174 0.038
2453263.38639 0.303 0.188 0.675 0.169 0.828 0.167 0.372 0.140 0.525 0.137 0.153 0.109




2453263.38751 99.999 9.999 0.840 0.154 1.031 0.152 99.999 9.999 99.999 9.999 0.191 0.087
2453263.38788 0.481 0.112 0.635 0.108 0.761 0.106 0.154 0.083 0.280 0.080 0.126 0.074


2453263.38863 0.372 0.029 0.697 0.027 0.870 0.026 0.325 0.023 0.498 0.022 0.173 0.018
